id;first_name;last_name;address;city;telephone
1;Gaetano;Spencer;systemic Intranet;New Mose;338-453-8797 x5530
2;Stanton;Ratke;solid;Quitzonfort;946.562.9637 x347
3;Dylan;Gottlieb;Mission;Janessaville;1-652-964-0086 x139
4;Earnest;Block;Mouse Team-oriented;Janessaport;208-940-7551 x43924
5;Kurt;Leuschke;compress invoice cyan;Kuvalismouth;281.707.2575 x24062
6;April;Bayer;Planner transmitting cyan;Edisonmouth;775.206.6400 x9867
7;Randi;Corkery;scale Rubber emulation;West Leda;899-443-8327 x31599
8;Nannie;Jacobs;Car;New Imeldaside;1-569-934-2203 x1618
9;Jevon;Pfannerstill;cutting-edge;Boyleborough;565.406.5661
10;Gerry;Powlowski;parsing;East Minervahaven;(254) 913-5387 x0722
